Source,Target,Type,Id,Label,timeset,Weight
1,106,Undirected,473,,,2
1,113,Undirected,474,,,5
1,114,Undirected,475,,,5
1,115,Undirected,476,,,5
1,18,Undirected,477,,,5
1,117,Undirected,478,,,5
1,121,Undirected,480,,,5
6,3,Undirected,483,,,2
6,5,Undirected,484,,,2
6,4,Undirected,485,,,2
22,66,Undirected,486,,,8
66,1,Undirected,487,,,0.5
66,6,Undirected,488,,,0.5
66,8,Undirected,489,,,0.5
66,7,Undirected,490,,,0.5
3,4,Undirected,491,,,10
5,4,Undirected,492,,,10
3,5,Undirected,493,,,10
67,2,Undirected,494,,,0.5
67,1,Undirected,495,,,0.5
67,6,Undirected,496,,,0.5
6,68,Undirected,497,,,5
6,72,Undirected,498,,,8
6,73,Undirected,499,,,8
6,71,Undirected,500,,,0.5
70,69,Undirected,501,,,0.5
6,70,Undirected,502,,,5
8,70,Undirected,504,,,5
76,75,Undirected,506,,,0.5
80,81,Undirected,507,,,8
80,83,Undirected,508,,,8
80,84,Undirected,509,,,8
80,85,Undirected,510,,,8
80,86,Undirected,511,,,0.5
83,84,Undirected,512,,,8
83,85,Undirected,513,,,8
83,86,Undirected,514,,,0.5
83,81,Undirected,515,,,8
84,85,Undirected,516,,,8
84,86,Undirected,517,,,0.5
84,81,Undirected,518,,,8
85,86,Undirected,519,,,0.5
85,81,Undirected,520,,,8
81,86,Undirected,521,,,0.5
6,78,Undirected,522,,,5
6,92,Undirected,523,,,5
8,87,Undirected,524,,,5
8,88,Undirected,525,,,5
7,88,Undirected,526,,,0.5
7,92,Undirected,527,,,5
7,90,Undirected,528,,,0.5
78,92,Undirected,529,,,8
91,78,Undirected,530,,,8
17,20,Undirected,531,,,5
17,92,Undirected,532,,,5
97,1,Undirected,533,,,5
104,103,Undirected,534,,,0.5
107,106,Undirected,535,,,5
104,108,Undirected,536,,,5
113,18,Undirected,537,,,5
7,117,Undirected,538,,,8
6,117,Undirected,539,,,5
8,116,Undirected,540,,,8
117,118,Undirected,542,,,0.5
11,121,Undirected,543,,,5
10,119,Undirected,544,,,10
10,120,Undirected,545,,,10
119,120,Undirected,546,,,10
1,13,Undirected,553,,,0.5
1,122,Undirected,554,,,0.5
1,123,Undirected,555,,,5
1,124,Undirected,556,,,5
1,125,Undirected,557,,,0.5
1,126,Undirected,558,,,0.5
1,127,Undirected,559,,,0.5
1,128,Undirected,560,,,0.5
1,129,Undirected,561,,,0.5
1,130,Undirected,562,,,0.5
1,150,Undirected,564,,,5
1,152,Undirected,565,,,0.5
1,153,Undirected,566,,,2
1,154,Undirected,567,,,2
1,179,Undirected,568,,,5
1,180,Undirected,569,,,5
1,181,Undirected,570,,,5
1,183,Undirected,571,,,0.5
1,184,Undirected,573,,,5
1,185,Undirected,574,,,5
1,186,Undirected,575,,,5
1,187,Undirected,576,,,5
1,188,Undirected,577,,,5
1,189,Undirected,578,,,5
1,190,Undirected,579,,,5
1,200,Undirected,580,,,8
1,194,Undirected,581,,,8
1,196,Undirected,582,,,5
1,197,Undirected,583,,,5
1,198,Undirected,584,,,5
1,191,Undirected,585,,,0.5
1,192,Undirected,586,,,0.5
1,195,Undirected,587,,,5
1,199,Undirected,588,,,8
1,201,Undirected,589,,,0.5
1,202,Undirected,590,,,0.5
1,203,Undirected,591,,,0.5
1,206,Undirected,592,,,2
1,214,Undirected,593,,,2
1,215,Undirected,594,,,2
1,216,Undirected,595,,,2
1,220,Undirected,596,,,0.5
1,221,Undirected,597,,,0.5
1,222,Undirected,598,,,0.5
1,223,Undirected,599,,,0.5
1,239,Undirected,600,,,5
1,233,Undirected,601,,,0.5
1,236,Undirected,602,,,0.5
